,V,G/GN
130,-3.38,1.032412882973441
131,-3.36,1.0330222905445114
132,-3.34,1.0336442682891205
133,-3.32,1.0342791765925854
134,-3.3,1.0349273891852655
135,-3.28,1.0355892937400555
136,-3.26,1.0362652925005094
137,-3.24,1.0369558029401842
138,-3.22,1.0376612584519591
139,-3.2,1.0383821090756367
140,-3.18,1.0391188222579157
141,-3.16,1.0398718836495937
142,-3.14,1.0406417979431886
143,-3.12,1.0414290897474094
144,-3.1,1.042234304506044
145,-3.08,1.0430580094548834
146,-3.06,1.0439007946263201
147,-3.04,1.044763273895775
148,-3.02,1.0456460860735204
149,-3.0,1.0465498960417279
150,-2.98,1.047475395937946
151,-2.96,1.0484233063817356
152,-2.94,1.0493943777472343
153,-2.92,1.0503893914771556
154,-2.9,1.051409161435776
155,-2.88,1.0524545353011665
156,-2.86,1.053526395987439
157,-2.84,1.0546256630922795
158,-2.82,1.0557532943661918
159,-2.8,1.0569102871878737
160,-2.78,1.058097680037561
161,-2.76,1.0593165539537608
162,-2.74,1.0605680339546713
163,-2.72,1.06185329040214
164,-2.7,1.0631735402842761
165,-2.68,1.06453004838454
166,-2.66,1.0659241282998828
167,-2.64,1.067357143265067
168,-2.62,1.0688305067303463
169,-2.6,1.0703456826304165
170,-2.58,1.0719041852735858
171,-2.56,1.0735075787639567
172,-2.54,1.0751574758573144
173,-2.52,1.07685553613469
174,-2.5,1.078603463353673
175,-2.48,1.0804030018212056
176,-2.46,1.0822559316000129
177,-2.44,1.0841640623330637
178,-2.42,1.0861292254374826
179,-2.4,1.0881532643747716
180,-2.38,1.0902380226670592
181,-2.36,1.0923853292706716
182,-2.34,1.0945969808617309
183,-2.32,1.096874720527471
184,-2.3,1.099220212274656
185,-2.28,1.1016350106886388
186,-2.26,1.1041205249793857
187,-2.24,1.1066779765506247
188,-2.22,1.1093083491052982
189,-2.2,1.112012330183457
190,-2.18,1.1147902428835619
191,-2.16,1.1176419663738761
192,-2.14,1.1205668436435254
193,-2.12,1.1235635747812547
194,-2.1,1.1266300939056715
195,-2.08,1.129763427711976
196,-2.06,1.1329595334585232
197,-2.04,1.1362131140923426
198,-2.02,1.1395174081475552
199,-2.0,1.142863952031976
200,-1.98,1.1462423124165608
201,-1.96,1.1496397866566503
202,-1.94,1.1530410695901536
203,-1.92,1.1564278857092534
204,-1.9,1.1597785866806432
205,-1.88,1.1630677155904054
206,-1.86,1.1662655412029697
207,-1.84,1.1693375681032345
208,-1.82,1.1722440319426408
209,-1.8,1.1749393933049328
210,-1.78,1.1773718490436798
211,-1.76,1.1794828864508027
212,-1.74,1.1812069132886507
213,-1.72,1.1824710054915168
214,-1.7,1.183194823920339
215,-1.68,1.1832907613990025
216,-1.66,1.1826643904534735
217,-1.64,1.1812152893414463
218,-1.62,1.178838327183244
219,-1.6,1.1754254858145574
220,-1.58,1.1708682834610245
221,-1.56,1.1650608403670004
222,-1.54,1.1579035863478475
223,-1.52,1.1493075532406234
224,-1.5,1.1391991219956368
225,-1.48,1.127525008612209
226,-1.46,1.114257183574368
227,-1.44,1.0993973388621472
228,-1.42,1.0829804618151841
229,-1.4,1.0650770643809921
230,-1.38,1.0457936652214155
231,-1.36,1.0252712387787835
232,-1.34,1.0036815253533338
233,-1.32,0.9812213202634539
234,-1.3,0.9581050954733205
235,-1.28,0.9345565131706981
236,-1.26,0.9107995287633126
237,-1.24,0.8870498234683707
238,-1.22,0.8635072461796284
239,-1.2,0.8403497941461202
240,-1.18,0.8177294531825077
241,-1.16,0.7957699905046052
242,-1.14,0.7745665853518436
243,-1.12,0.7541870230999494
244,-1.1,0.7346740821755002
245,-1.08,0.7160487101552583
246,-1.06,0.6983136055495491
247,-1.04,0.6814568785916463
248,-1.02,0.6654555404445677
249,-1.0,0.6502786504850693
250,-0.98,0.6358900248428828
251,-0.96,0.622250469799345
252,-0.94,0.6093195485777356
253,-0.92,0.5970569199061649
254,-0.9,0.5854233036403786
255,-0.88,0.5743811355705951
256,-0.86,0.5638949732404119
257,-0.84,0.5539317097752189
258,-0.82,0.5444606454249358
259,-0.8,0.5354534582895333
260,-0.78,0.5268841075317996
261,-0.76,0.518728694905121
262,-0.74,0.5109653039421542
263,-0.72,0.5035738307700312
264,-0.7,0.4965358162062751
265,-0.68,0.48983428544690316
266,-0.66,0.48345359914234687
267,-0.64,0.477379317827043
268,-0.62,0.47159808037960915
269,-0.6,0.4660974963256452
270,-0.58,0.4608660512449258
271,-0.56,0.45589302422876576
272,-0.54,0.45116841617987175
273,-0.52,0.4466828877082815
274,-0.5,0.4424277054108762
275,-0.48,0.4383946954018024
276,-0.46,0.43457620306537165
277,-0.44,0.43096505811773234
278,-0.42,0.42755454417994193
279,-0.4,0.42433837217573567
280,-0.38,0.42131065696980524
281,-0.36,0.4184658967549222
282,-0.34,0.4157989547770856
283,-0.32,0.4133050430585122
284,-0.3,0.41097970783913473
285,-0.28,0.40881881650728513
286,-0.26,0.406818545834453
287,-0.24,0.40497537136340594
288,-0.22,0.4032860578293723
289,-0.2,0.40174765051745287
290,-0.18,0.400357467479339
291,-0.16,0.3991130925486999
292,-0.14,0.39801236910690185
293,-0.12,0.3970533945618388
294,-0.1,0.39623451551042244
295,-0.08,0.39555432356253806
296,-0.06,0.3950116518093834
297,-0.04,0.39460557192379553
298,-0.02,0.3943353918835615
299,0.0,0.3942006543120927
300,0.02,0.394201135433141
301,0.04,0.39433684463885443
302,0.06,0.39460802467242306
303,0.08,0.39501515242895685
304,0.1,0.3955589403801333
305,0.12,0.3962403386308538
306,0.14,0.3970605376184857
307,0.16,0.39802097146869486
308,0.18,0.39912332202514683
309,0.2,0.40036952357507694
310,0.22,0.4017617682978989
311,0.24,0.4033025124704909
312,0.26,0.4049944834708219
313,0.28,0.4068406876315906
314,0.3,0.40884441900701857
315,0.32,0.41100926913123526
316,0.34,0.41333913786429893
317,0.36,0.41583824544376036
318,0.38,0.418511145886098
319,0.4,0.42136274191450473
320,0.42,0.4243983016268835
321,0.44,0.4276234771643362
322,0.46,0.43104432569246975
323,0.48,0.4346673330714127
324,0.5,0.4384994406614929
